simulation_number,simulation,accuracy,precision,recall,f1_score,total_images,valid_predictions
1,SIM01,0.9732620320855615,0.979381443298969,0.9693877551020408,0.9743589743589743,200,187
2,SIM02,0.9441340782122905,0.9534883720930233,0.9318181818181818,0.9425287356321839,200,179
3,SIM03,0.9562841530054644,0.9651162790697675,0.9431818181818182,0.9540229885057471,200,183
4,SIM04,0.9723756906077348,0.9777777777777777,0.967032967032967,0.9723756906077348,200,181
5,SIM05,0.949748743718593,0.9787234042553191,0.92,0.9484536082474226,200,199
6,SIM06,0.9545454545454546,0.989010989010989,0.9183673469387755,0.9523809523809523,200,198
7,SIM07,0.9191919191919192,0.9183673469387755,0.9183673469387755,0.9183673469387755,200,198
8,SIM08,0.9748743718592965,0.9795918367346939,0.9696969696969697,0.9746192893401016,200,199
9,SIM09,0.9393939393939394,0.9578947368421052,0.9191919191919192,0.9381443298969072,200,198
10,SIM10,0.9698492462311558,0.979381443298969,0.9595959595959596,0.9693877551020408,200,199
11,SIM11,0.945,0.978494623655914,0.91,0.9430051813471503,200,200
12,SIM12,0.9343434343434344,0.9886363636363636,0.8787878787878788,0.93048128342246,200,198
13,SIM13,0.965,0.9603960396039604,0.97,0.9651741293532339,200,200
14,SIM14,0.94,0.9489795918367347,0.93,0.9393939393939394,200,200
15,SIM15,0.955,0.9595959595959596,0.95,0.9547738693467337,200,200
16,SIM16,0.9545454545454546,0.9587628865979382,0.9489795918367347,0.9538461538461539,200,198
17,SIM17,0.9343434343434344,0.9381443298969072,0.9285714285714286,0.9333333333333333,200,198
18,SIM18,0.9441624365482234,0.9215686274509803,0.9690721649484536,0.9447236180904522,200,197
19,SIM19,0.965,0.9603960396039604,0.97,0.9651741293532339,200,200
20,SIM20,0.96,0.9893617021276596,0.93,0.9587628865979382,200,200
21,SIM21,0.925,0.9473684210526315,0.9,0.9230769230769231,200,200
22,SIM22,0.955,0.9789473684210527,0.93,0.9538461538461539,200,200
23,SIM23,0.949748743718593,0.9494949494949495,0.9494949494949495,0.9494949494949495,200,199
24,SIM24,0.955,0.9690721649484536,0.94,0.9543147208121827,200,200
25,SIM25,0.9545454545454546,0.96875,0.9393939393939394,0.9538461538461539,200,198
26,SIM26,0.9748743718592965,0.9896907216494846,0.96,0.9746192893401016,200,199
27,SIM27,0.955,0.9789473684210527,0.93,0.9538461538461539,200,200
28,SIM28,0.9545454545454546,0.9690721649484536,0.94,0.9543147208121827,200,198
29,SIM29,0.95,0.9591836734693877,0.94,0.9494949494949495,200,200
30,SIM30,0.935,0.9393939393939394,0.93,0.9346733668341709,200,200
