image_name,true_class,predicted_class,confidence,detected,error,raw_response
happy238_jpg.rf.2ca40eaac7bfcd854bafd2f640e5550b.jpg,happy,happy,,True,,happy
749293132.png,happy,unknown,,False,500 Internal error encountered.,
21659.png,happy,happy,,True,,happy
22027.png,happy,happy,,True,,happy
12480.png,happy,happy,,True,,happy
164066505.png,happy,happy,,True,,happy
18783.png,happy,happy,,True,,happy
717249586.png,happy,happy,,True,,happy
16551.png,happy,sad,,True,,sad
33470.png,happy,happy,,True,,happy
54983135.png,happy,happy,,True,,happy
26525.png,happy,happy,,True,,happy
10929.png,happy,happy,,True,,happy
423861740.png,happy,happy,,True,,happy
15475.png,happy,happy,,True,,happy
22346.png,happy,happy,,True,,happy
28333.png,happy,happy,,True,,happy
25407326.png,happy,happy,,True,,happy
11575.png,happy,happy,,True,,happy
395095287.png,happy,happy,,True,,happy
20435.png,happy,happy,,True,,happy
10509.png,happy,happy,,True,,happy
21155214.png,happy,happy,,True,,happy
21267.png,happy,happy,,True,,happy
25028.png,happy,happy,,True,,happy
515943582.png,happy,happy,,True,,happy
28040.png,happy,happy,,True,,happy
19464.png,happy,happy,,True,,happy
16227.png,happy,unknown,,False,Resposta ambígua: neutral,neutral
491180372.png,happy,happy,,True,,happy
26872.png,happy,happy,,True,,happy
16769.png,happy,happy,,True,,happy
329036209.png,happy,happy,,True,,happy
35007.png,happy,happy,,True,,happy
33338.png,happy,happy,,True,,happy
8548.png,happy,happy,,True,,happy
874141852.png,happy,happy,,True,,happy
248725773.png,happy,happy,,True,,happy
19616.png,happy,happy,,True,,happy
19164.png,happy,happy,,True,,happy
268276132.png,happy,happy,,True,,happy
670272808.png,happy,happy,,True,,happy
838940409.png,happy,happy,,True,,happy
651051728.png,happy,happy,,True,,happy
30007897.png,happy,happy,,True,,happy
740345790.png,happy,happy,,True,,happy
28379.png,happy,happy,,True,,happy
28812.png,happy,happy,,True,,happy
35275.png,happy,sad,,True,,sad
25465.png,happy,happy,,True,,happy
376776068.png,happy,happy,,True,,happy
24343.png,happy,happy,,True,,happy
987316295.png,happy,happy,,True,,happy
31001.png,happy,happy,,True,,happy
900887704.png,happy,happy,,True,,happy
3260.png,happy,happy,,True,,happy
34410.png,happy,happy,,True,,happy
156480330.png,happy,happy,,True,,happy
6127.png,happy,happy,,True,,happy
20314.png,happy,happy,,True,,happy
24600.png,happy,happy,,True,,happy
381471428.png,happy,happy,,True,,happy
750828121.png,happy,happy,,True,,happy
35481.png,happy,happy,,True,,happy
82278674.png,happy,happy,,True,,happy
692987586.png,happy,happy,,True,,happy
1920.png,happy,happy,,True,,happy
1049.png,happy,happy,,True,,happy
30329.png,happy,happy,,True,,happy
29485.png,happy,happy,,True,,happy
856819770.png,happy,happy,,True,,happy
22856.png,happy,happy,,True,,happy
783892328.png,happy,happy,,True,,happy
3107.png,happy,happy,,True,,happy
2543.png,happy,happy,,True,,happy
801708428.png,happy,happy,,True,,happy
22629.png,happy,happy,,True,,happy
948026595.png,happy,happy,,True,,happy
969321928.png,happy,happy,,True,,happy
757673713.png,happy,happy,,True,,happy
433869024.png,happy,happy,,True,,happy
716287297.png,happy,happy,,True,,happy
210134805.png,happy,happy,,True,,happy
22654753.png,happy,happy,,True,,happy
643773807.png,happy,happy,,True,,happy
