image_name,true_class,predicted_class,confidence,detected,error
happy142_jpg.rf.89bd19d9aef827e877b2eb3096ebbee7.jpg,happy,happy,,True,
happy217_jpg.rf.99a50948278c318eee9d5c77792bb467.jpg,happy,happy,,True,
406.png,happy,happy,,True,
13589.png,happy,happy,,True,
6776.png,happy,happy,,True,
7441.png,happy,happy,,True,
104482053.png,happy,happy,,True,
393471335.png,happy,happy,,True,
6985.png,happy,happy,,True,
24680.png,happy,happy,,True,
757609922.png,happy,happy,,True,
289183736.png,happy,sad,,True,
933624374.png,happy,happy,,True,
20780.png,happy,happy,,True,
9133.png,happy,happy,,True,
16390.png,happy,happy,,True,
981173607.png,happy,happy,,True,
1815.png,happy,happy,,True,
6175.png,happy,happy,,True,
3596.png,happy,happy,,True,
3421.png,happy,happy,,True,
859608259.png,happy,happy,,True,
978497169.png,happy,happy,,True,
20543.png,happy,happy,,True,
491469732.png,happy,happy,,True,
1975579.png,happy,happy,,True,
921.png,happy,happy,,True,
1870.png,happy,happy,,True,
24231.png,happy,happy,,True,
826851992.png,happy,happy,,True,
206863098.png,happy,happy,,True,
21942.png,happy,happy,,True,
2766.png,happy,happy,,True,
204498555.png,happy,happy,,True,
33188.png,happy,happy,,True,
814046388.png,happy,happy,,True,
130600613.png,happy,happy,,True,
358557470.png,happy,happy,,True,
27311.png,happy,happy,,True,
14730.png,happy,happy,,True,
706545789.png,happy,happy,,True,
35258.png,happy,happy,,True,
26622.png,happy,happy,,True,
32723.png,happy,happy,,True,
466179834.png,happy,happy,,True,
599873889.png,happy,happy,,True,
108198775.png,happy,happy,,True,
322055074.png,happy,happy,,True,
970918853.png,happy,happy,,True,
101997701.png,happy,happy,,True,
14310.png,happy,happy,,True,
792160078.png,happy,happy,,True,
11335.png,happy,happy,,True,
9388.png,happy,sad,,True,
314736807.png,happy,happy,,True,
358878567.png,happy,happy,,True,
549011063.png,happy,happy,,True,
12957.png,happy,happy,,True,
56348486.png,happy,happy,,True,
396644546.png,happy,happy,,True,
722491870.png,happy,happy,,True,
22936.png,happy,happy,,True,
972365627.png,happy,happy,,True,
295501012.png,happy,happy,,True,
34950.png,happy,sad,,True,
311767711.png,happy,happy,,True,
334043254.png,happy,happy,,True,
18471.png,happy,happy,,True,
603154197.png,happy,happy,,True,
387326105.png,happy,happy,,True,
27332.png,happy,happy,,True,
720186878.png,happy,happy,,True,
24626499.png,happy,happy,,True,
2069.png,happy,happy,,True,
1763.png,happy,happy,,True,
23481.png,happy,happy,,True,
708567215.png,happy,happy,,True,
20361.png,happy,happy,,True,
817.png,happy,happy,,True,
16957.png,happy,happy,,True,
5303.png,happy,happy,,True,
135878048.png,happy,happy,,True,
20377.png,happy,happy,,True,
363823090.png,happy,happy,,True,
49968246.png,happy,happy,,True,
46464506.png,happy,happy,,True,
26850.png,happy,happy,,True,
8542.png,happy,happy,,True,
27187.png,happy,happy,,True,
9649.png,happy,happy,,True,
768710821.png,happy,happy,,True,
31532.png,happy,happy,,True,
3366.png,happy,happy,,True,
7114.png,happy,happy,,True,
698227324.png,happy,happy,,True,
171562539.png,happy,happy,,True,
445734158.png,happy,happy,,True,
79318621.png,happy,happy,,True,
35153.png,happy,happy,,True,
28670.png,happy,happy,,True,
6992.png,sad,sad,,True,
967215898.png,sad,sad,,True,
861363378.png,sad,sad,,True,
322320389.png,sad,sad,,True,
24939.png,sad,sad,,True,
319834056.png,sad,sad,,True,
31272.png,sad,sad,,True,
20425.png,sad,sad,,True,
30144.png,sad,sad,,True,
109261008.png,sad,happy,,True,
7240.png,sad,sad,,True,
660068163.png,sad,sad,,True,
602936007.png,sad,sad,,True,
23471.png,sad,sad,,True,
18154.png,sad,sad,,True,
447759672.png,sad,sad,,True,
171.png,sad,sad,,True,
958820707.png,sad,sad,,True,
27993.png,sad,sad,,True,
748790251.png,sad,sad,,True,
634340563.png,sad,sad,,True,
326453183.png,sad,sad,,True,
922033649.png,sad,sad,,True,
14793.png,sad,sad,,True,
32754.png,sad,sad,,True,
5291.png,sad,sad,,True,
735468245.png,sad,sad,,True,
190760521.png,sad,sad,,True,
16531.png,sad,sad,,True,
34357.png,sad,sad,,True,
938729427.png,sad,sad,,True,
349783732.png,sad,sad,,True,
606375451.png,sad,sad,,True,
970539577.png,sad,sad,,True,
