simulation_number,simulation,accuracy,precision,recall,f1_score,total_images,valid_predictions
1,SIM01,0.9387755102040817,0.927536231884058,0.9846153846153847,0.9552238805970149,200,98
2,SIM02,0.9565217391304348,0.9846153846153847,0.9552238805970149,0.9696969696969697,200,92
3,SIM03,0.9719626168224299,0.9714285714285714,0.9855072463768116,0.9784172661870504,200,107
4,SIM04,0.9764705882352941,0.9807692307692307,0.9807692307692307,0.9807692307692307,200,85
5,SIM05,0.9887640449438202,1.0,0.9827586206896551,0.991304347826087,200,89
6,SIM06,0.945054945054945,0.9508196721311475,0.9666666666666667,0.9586776859504132,200,91
7,SIM07,0.9186046511627907,0.9152542372881356,0.9642857142857143,0.9391304347826087,200,86
8,SIM08,0.9894736842105263,1.0,0.9846153846153847,0.9922480620155039,200,95
9,SIM09,0.92,0.90625,0.9666666666666667,0.9354838709677419,200,100
10,SIM10,0.9714285714285714,0.9701492537313433,0.9848484848484849,0.9774436090225563,200,105
11,SIM11,0.9418604651162791,0.9655172413793104,0.9491525423728814,0.9572649572649573,200,86
12,SIM12,0.9659090909090909,0.9661016949152542,0.9827586206896551,0.9743589743589743,200,88
13,SIM13,0.9896907216494846,1.0,0.9855072463768116,0.9927007299270073,200,97
14,SIM14,0.9310344827586207,0.9636363636363636,0.9298245614035088,0.9464285714285714,200,87
15,SIM15,0.9514563106796117,0.9565217391304348,0.9705882352941176,0.9635036496350365,200,103
16,SIM16,0.9292929292929293,0.9701492537313433,0.9285714285714286,0.948905109489051,200,99
17,SIM17,0.9693877551020408,0.953125,1.0,0.976,200,98
18,SIM18,0.9354838709677419,0.9508196721311475,0.9508196721311475,0.9508196721311475,200,93
19,SIM19,0.9259259259259259,0.9375,0.9375,0.9375,200,108
20,SIM20,0.9795918367346939,0.984375,0.984375,0.984375,200,98
21,SIM21,0.9761904761904762,0.9821428571428571,0.9821428571428571,0.9821428571428571,200,84
22,SIM22,0.9381443298969072,0.9701492537313433,0.9420289855072463,0.9558823529411765,200,97
23,SIM23,0.9904761904761905,0.984375,1.0,0.9921259842519685,200,105
24,SIM24,0.9611650485436893,0.9841269841269841,0.9538461538461539,0.96875,200,103
25,SIM25,0.9789473684210527,0.9666666666666667,1.0,0.9830508474576272,200,95
26,SIM26,0.9739130434782609,0.9855072463768116,0.9714285714285714,0.9784172661870504,200,115
27,SIM27,0.9626168224299065,1.0,0.9402985074626866,0.9692307692307692,200,107
28,SIM28,0.9560439560439561,0.9814814814814815,0.9464285714285714,0.9636363636363636,200,91
29,SIM29,0.9791666666666666,1.0,0.9701492537313433,0.9848484848484849,200,96
30,SIM30,0.9325842696629213,0.9047619047619048,1.0,0.95,200,89
